breakfast,Calories Day,caloriesday,Coffee,Comfort Food Reasons,comfortfoodreasons,cook per week,Cuisine,cusinelabel,Diet Current,dietcurrrent,eatingout,employment,Employment,exercise,Exercise,favcomfortfood,Fruit Day,gender,GPA,Healthy Feeling (copy),Life Rewarding (copy),martialstatus,nutritionalcheck,parentscooking,participate,paymealsout,self,Veggies Day,vitamin intake,Weight (copy),Breakfast,Coffee (copy),Comfort Food Reasons Coded,Cook,Diet Current Coded,Eating Out,Fav Food,Gender,GPA (copy),Healthy Feeling,Life Rewarding,Marital Status,Nutritional Check,Parents Cook,Pay Meal Out,Self Perception Weight,Sports,Vitamins,Weight
Cereal,3,Maybe,2,"stress, boredom",Boredom,Weekends,1,American,"At school its hard but usually a granola bar and fruit for breakfast, a wrap for dinner or lunch, and then veggies and hummus.",Unhealthy,1-2Times,Part time,2,Every day,1,Healthy,5,Male,3,8,8,Relationship,MostProducts,1-2times,Yes,$10-$20,JustRight,4,Yes,130 - 150,1,2,1,2,3,2,1,1,3,8,8,2,4,1,3,3,1,1,135
Cereal,3,Maybe,2,Boredom,Stress,Never,1,American,No diet. I eat what makes me feel good,SamethingOver,Never,no,3,Every day,1,Healthy,5,Female,3.9,1,3,single,MostProducts,1-2times,Yes,$10-$20,SlightlyOverweight,4,No,130 - 150,1,2,2,5,2,1,1,2,3.9,1,3,1,4,1,3,2,1,2,145
Cereal,2,VeryImp,2,"happiness, hunger, sadness",Other,NotOften,1,American,If there is berries I will eat them.  Eat any kind of pasta.  Hate cooked vegetables,SamethingOver,2-3Times,Part time,2,2-3 times,2,Both,3,Male,3.4,4,1,single,,1-2times,No,$10-$20,JustRight,2,Yes,130 - 150,1,2,7,3,2,3,3,1,3.4,4,1,1,2,1,3,3,2,1,130
Donut,3,Maybe,1,"boredom, sadness",Stress,NotOften,1,American,"I eat fruits, dairy and carbs ",SamethingOver,2-3Times,no,3,Every day,1,Healthy,4,Male,3.5,2,2,Relationship,,Everyday,Yes,$30-$40,Slim,2,No,190 - 210,2,1,2,3,2,3,1,1,3.5,2,2,2,2,3,5,4,1,2,190
Cereal,nan,,2,boredom,Stress,Unknown,1,American,I eat two-tree meals per day. Always eat a breakfast.,Unknown,Everyday,no,3,Every day,1,Healthy,3,Male,3.7,8,7,single,CertainProducts,2-3times,Yes,$10-$20,JustRight,3,No,170 - 190,1,2,2,,4,5,1,1,3.7,8,7,1,3,2,3,3,1,2,170
Cereal,3,Maybe,2,"Boredom, sadness, or with friends ",Stress,Weekends,1,American,I eat healthy as well as unhealthy. I try to keep a balanced diet but often eat junk food with friends.,SamethingOver,1-2Times,no,nan,once week,nan,Healthy,4,Male,3.7,4,1,Married,CertainProducts,2-3times,Yes,$5-$10,JustRight,4,No,110 - 130,1,2,2,2,2,2,1,1,3.7,4,1,,3,2,2,3,1,2,127
Cereal,3,Maybe,2,"Sadness, Loneliness, Boredom",Sadness,Everyday,1,American,I eat a paleo based diet high in protein and low in fat. I stay away from processed foods as much as I can.,Healthy,1-2Times,no,3,Every day,1,Both,5,Male,3.83,9,9,Relationship,Everything,1-2times,Yes,$10-$20,SlightlyOverweight,5,Yes,150 - 170,1,2,3,1,1,2,3,1,3.83,9,9,2,5,1,3,2,1,1,167
Cereal,3,Maybe,2,Mostly Stress,Boredom,NotOften,1,American,I try to eat something light for breakfast like cereal or an apple. For lunch I eat sandwiches or pasta also something somewhat light and I eat however much I'm hungry for at dinner. Sometimes I try to be healthy with a salad or something and then I get dessert,Unhealthy,2-3Times,Part time,2,once week,3,Both,5,Male,2.6,7,7,Relationship,CertainProducts,2-3times,No,$10-$20,JustRight,4,Yes,130 - 150,1,2,1,3,3,3,3,1,2.6,7,7,2,3,2,3,3,2,1,140
Cereal,3,Maybe,2,"boredom, sadness ",Stress,Weekends,1,American,Eat fruits and vegetables daily and with almost every meal. Diet mostly consists of meat as well.,Healthy,Never,no,3,2-3 times,2,Both,5,Male,3,3,1,single,Everything,1-2times,Yes,$10-$20,Slim,4,Yes,190 - 210,1,2,2,2,1,1,3,1,3,3,1,1,5,1,3,4,1,1,190
Cereal,3,Maybe,1,when i am sad or craving,Sadness,CoupleOfTimes,1,American,I try to eat healthy but sometimes drink soda pop and I enjoy desserts. harder to eat healthy when I am at school.,SamethingOver,1-2Times,Part time,2,Every day,1,StoreBought,4,Female,3.2,5,4,single,,1-2times,Yes,$10-$20,Slim,4,Yes,150 - 170,1,1,3,4,2,2,2,2,3.2,5,4,1,2,1,3,4,1,1,155
Donut,4,NotImp,2,None,Other,Unknown,1,American,High protein and high carbs with fruits and vegetables as needed,SamethingOver,Never,Part time,2,Every day,1,Healthy,4,Female,3.5,7,1,single,Everything,1-2times,No,$20-$30,SlightlyOverweight,4,Yes,170 - 190,2,2,9,,2,1,1,2,3.5,7,1,1,5,1,4,2,2,1,175
Donut,2,VeryImp,2,Boredom and stress,Stress,Weekends,1,American,I eat very basic foods like pizza and pasta. I don't try many new things.,SamethingOver,2-3Times,Part time,2,2-3 times,2,Both,2,Male,3.8,5,2,Relationship,CertainProducts,Everyday,No,$10-$20,JustRight,1,No,130 - 150,2,2,2,2,2,3,3,1,3.8,5,2,2,3,3,3,3,2,2,135
Donut,nan,,2,"Stress, sadness, boredom",Boredom,Weekends,1,American,My diet consists of high levels of meats with some vegetables. Coexisting with varying levels of sugars,SamethingOver,Everyday,Part time,2,once week,3,Healthy,1,Female,3.3,8,1,Relationship,,1-2times,Yes,$10-$20,Slim,4,No,190 - 210,2,2,1,2,2,5,1,2,3.3,8,1,2,2,1,3,4,1,2,190
Cereal,nan,,2,"Boredom, sadness",Stress,CoupleOfTimes,1,American,Very poor. Heavy carb consumption.,SamethingOver,1-2Times,no,3,once week,3,Healthy,4,Female,3.2,6,6,single,Never,1-2times,No,$20-$30,JustRight,5,No,150 - 170,1,2,2,4,2,2,1,2,3.2,6,6,1,1,1,4,3,2,2,165
Cereal,nan,,2,"Boredom, hunger, snacking.",Stress,NotOften,1,American,"I eat usually 2 times a day, either breakfast and dinner or lunch and dinner.  I feel that is enough for me.",SamethingOver,1-2Times,no,3,Every day,1,Both,4,Female,3.5,10,10,Relationship,CertainProducts,1-2times,Yes,$10-$20,SlightlyOverweight,4,No,170 - 190,1,2,2,3,2,2,3,2,3.5,10,10,2,3,1,3,2,1,2,184
Cereal,3,Maybe,2,"Happiness, sadness, celebration.",Other,Weekends,2,Indian,Currently whatever Egan has at the moment.,SamethingOver,1-2Times,Part time,2,2-3 times,2,Both,3,Female,3.92,2,8,single,,2-3times,No,$10-$20,,2,Yes,210 - 230,1,2,7,2,2,2,3,2,3.92,2,8,1,2,2,3,6,2,1,210
Cereal,3,Maybe,2,"Boredom, anger and just being hungry in general.",Stress,NotOften,1,American,I try to maintain a healthy diet. I always try to eat foods that are beneficial to my health and that will impact me in the long run.,Healthy,1-2Times,Part time,2,Every day,1,Healthy,5,Male,3.9,1,1,single,MostProducts,1-2times,Yes,$30-$40,JustRight,5,No,150 - 170,1,2,2,3,1,2,1,1,3.9,1,1,1,4,1,5,3,1,2,155
Cereal,3,Maybe,1,"Depression, comfort, accessibility ",Sadness,CoupleOfTimes,6,,Somewhat unhealthy. This is due to my hectic work and school schedule.,SamethingOver,Everyday,no,3,2-3 times,2,StoreBought,5,Female,3.9,8,1,Relationship,CertainProducts,Everyday,Yes,>$40,Slim,4,Yes,170 - 190,1,1,3,4,2,5,,2,3.9,8,1,2,3,3,6,4,1,1,185
Cereal,4,NotImp,1,"they are yummy, my boyfriend sometimes makes me sad, boredom",Sadness,CoupleOfTimes,2,Indian,"i drink alot of lemon water, and milk. i also eat ice cream frequently after dinner. but i also eat lots of fruits and veggies",SamethingOver,2-3Times,Part time,2,once week,nan,Healthy,5,Male,3.2,3,2,Relationship,,1-2times,Yes,$10-$20,JustRight,5,Yes,150 - 170,1,1,3,4,2,3,1,1,3.2,3,2,2,2,1,3,3,1,1,165
Cereal,3,Maybe,2,"Sad, bored, excited",Sadness,NotOften,1,American,I typically eat very healthy. i consume fruits and vegetables in about every meal.,Healthy,1-2Times,Part time,2,2-3 times,2,Healthy,5,Male,3.5,2,1,Relationship,,1-2times,Yes,$5-$10,SlightlyOverweight,5,No,110 - 130,1,2,3,3,1,2,1,1,3.5,2,1,2,2,1,2,2,1,2,125
Cereal,nan,,2,"boredom, stress, mood swings",Stress,NotOften,1,American,At this time it is very touch and go. Some days I live on sandwiches and ice cream while other days I eat lots of fruits and vegetables.,SamethingOver,1-2Times,Part time,2,once week,3,Both,5,Male,3.4,3,3,single,MostProducts,1-2times,No,$5-$10,Veryfit,5,No,150 - 170,1,2,2,3,2,2,3,1,3.4,3,3,1,4,1,2,5,2,2,160
Cereal,4,NotImp,2,"Anger, sadness",Sadness,Weekends,1,American,"A very healthy diet. Avoiding junk foods, and any white breads. ",Healthy,2-3Times,no,3,Every day,1,Both,5,Male,,7,7,single,Everything,2-3times,No,$10-$20,Slim,5,Yes,130 - 150,1,2,3,2,1,3,3,1,,7,7,1,5,2,3,4,2,1,135
Cereal,3,Maybe,2,"Anxiousness, watching TV I desire ""comfort food"" ",Other,Weekends,1,American,I have been eating mainly proteins and some fruits and vegetables every day with some less healthy snack foods.,Healthy,1-2Times,Part time,2,2-3 times,2,Healthy,5,Male,3.7,4,8,single,MostProducts,2-3times,No,$10-$20,,5,Yes,130 - 150,1,2,8,2,1,2,1,1,3.7,4,8,1,4,2,3,6,2,1,130
Cereal,3,Maybe,2,"Boredom, sadness, anxiety",Stress,CoupleOfTimes,1,American,"High in carbs, but I have recently tried to cut down on fats, salt, and sugars. I choose more organic options as well as more fruits and vegetables. ",SamethingOver,1-2Times,Part time,2,once week,nan,Both,4,Male,,9,3,single,MostProducts,2-3times,No,$20-$30,Veryfit,5,Yes,230 - 250,1,2,2,4,2,2,3,1,,9,3,1,4,2,4,5,2,1,230
Cereal,3,Maybe,2,"Boredom, laziness, anger",Stress,NotOften,1,American,"Since I am a college student I rarely cook full meals with protein, vegetables and starch. I usually just heat up leftovers from a restaurant or go eat casual food at the dining hall.",SamethingOver,2-3Times,no,nan,2-3 times,2,Both,3,Male,3,2,1,Relationship,,1-2times,Yes,$30-$40,JustRight,2,No,110 - 130,1,2,2,3,2,3,3,1,3,2,1,2,2,1,5,3,1,2,125
Cereal,3,Maybe,1,"I am always stressed out, and bored when I am in my apartment. ",Other,Weekends,1,American,I try to eat a balanced meal. I refrain from anything too fatty.,Healthy,1-2Times,Part time,2,Every day,1,Both,4,Male,3.8,5,4,single,,1-2times,No,$10-$20,Slim,4,No,150 - 170,1,1,,2,1,2,3,1,3.8,5,4,1,2,1,3,4,2,2,165
Cereal,2,VeryImp,2,"Stress, sadness, boredom",Other,Never,1,American,moderately health conscious,Healthy,1-2Times,no,3,Every day,1,StoreBought,5,Male,3.8,6,5,Relationship,MostProducts,2-3times,Yes,$10-$20,JustRight,5,No,110 - 130,1,2,,5,1,2,2,1,3.8,6,5,2,4,2,3,3,1,2,128
Cereal,3,Maybe,2,"Stress, frustration, self-consciousness ",Other,Weekends,1,American,"protein, carbs, less fruits and vegetables, some sweets ",SamethingOver,2-3Times,Part time,2,once week,3,StoreBought,4,Male,3.4,5,1,single,MostProducts,2-3times,No,$10-$20,Veryfit,3,Yes,190 - 210,1,2,,2,2,3,2,1,3.4,5,1,1,4,2,3,5,2,1,200
Cereal,3,Maybe,1,Sadness and cravings,Other,NotOften,2,Indian,I eat at least 2 times a day at the universities dining places. I also sometimes cook myself and try to eat healthy a majority of the time.,SamethingOver,3-5Times,no,3,2-3 times,2,Healthy,3,Male,3.7,8,9,Relationship,CertainProducts,2-3times,Yes,$20-$30,JustRight,3,No,150 - 170,1,1,,3,2,4,1,1,3.7,8,9,2,3,2,4,3,1,2,160
Cereal,4,NotImp,2,"Sadness, happiness and boredom",Other,Everyday,1,American,I eat a lot of proteins and fruit and vegetables. I try to stay away from carbohydrates and sugary foods.,Healthy,3-5Times,no,3,Every day,1,Both,5,Male,3.9,10,9,Relationship,MostProducts,2-3times,No,$10-$20,JustRight,3,No,110 - 130,1,2,,1,1,4,3,1,3.9,10,9,2,4,2,3,3,2,2,129
Cereal,2,VeryImp,1,Boredom and sadness,Other,Weekends,1,American,"My current diet would be considered a ""college diet"". I eat a lot of pizza and ramen noodles. ",SamethingOver,2-3Times,Part time,2,2-3 times,2,Healthy,4,Male,3.6,9,1,Relationship,MostProducts,2-3times,No,$10-$20,Slim,2,No,170 - 190,1,1,,2,2,3,1,1,3.6,9,1,2,4,2,3,4,2,2,170
Cereal,3,Maybe,2,"sadness, happiness and hunger",Other,NotOften,4,Asian,Not very healthy,SamethingOver,2-3Times,no,3,2-3 times,2,Both,4,Female,2.8,7,7,Relationship,CertainProducts,1-2times,Yes,$30-$40,Overweight,3,No,130 - 150,1,2,,3,2,3,3,2,2.8,7,7,2,3,1,5,1,1,2,138
Cereal,4,NotImp,2,"Stress, boredom and physical activity",Other,CoupleOfTimes,1,American,I currently eat an abundance of carbohydrates. I have a low intake of protein. I overly intake calcium.,SamethingOver,1-2Times,Part time,2,Every day,1,Both,5,Female,3.3,10,10,Relationship,Never,1-2times,Yes,$30-$40,SlightlyOverweight,2,No,150 - 170,1,2,,4,2,2,3,2,3.3,10,10,2,1,1,5,2,1,2,150
Cereal,nan,,2,When i'm  eating with my close friends/ Food smell or look good/ when I feel tired,Other,NotOften,4,Asian,I eat in dining hall of school everyday. I usually have both meat and a little vegetable in every meal.,Healthy,1-2Times,Part time,2,once week,nan,Both,3,Male,3.77,9,7,single,,1-2times,No,$5-$10,Slim,3,Yes,110 - 130,1,2,,3,1,2,3,1,3.77,9,7,1,2,1,2,4,2,1,113
Cereal,3,Maybe,1,Stress and boredom,Other,NotOften,1,American,Try to eat as healthy as possible. A few days where fast food comes into play because of classes.,SamethingOver,1-2Times,Part time,2,2-3 times,2,Healthy,5,Male,3.63,5,8,Relationship,,Everyday,No,$20-$30,Slim,5,No,130 - 150,1,1,,3,2,2,1,1,3.63,5,8,2,2,3,4,4,2,2,140
Cereal,3,Maybe,2,"Happiness, boredom, social event",Other,Weekends,5,,"My diet is mostly whatever I get to eat in the grotto commons. Sometimes, I eat outside",SamethingOver,1-2Times,Part time,2,2-3 times,2,Both,5,Female,3.2,7,6,Relationship,,1-2times,Yes,$10-$20,Slim,5,No,170 - 190,1,2,,2,2,2,3,2,3.2,7,6,2,2,1,3,4,1,2,185
Cereal,4,NotImp,2,boredom and sadness,Other,NotOften,1,American,"My diet consists mainly of coffee, water, fruits, vegetables, and chicken. I tend to stay away from bread and pasta as much as possible. ",SamethingOver,1-2Times,FullTime,1,2-3 times,2,Healthy,5,Male,3.5,5,7,single,Everything,1-2times,Yes,$20-$30,Slim,5,Yes,150 - 170,1,2,,3,2,2,1,1,3.5,5,7,1,5,1,4,4,1,1,156
Cereal,4,NotImp,1,"happiness, they are some of my favorite foods",Other,NotOften,1,American,"I try to eat as healthy as possible everyday.  I have fruit, yogurt and a protein shake everyday.  The other foods i eat vary on a day to day basis.",Healthy,Everyday,Part time,2,Every day,1,Both,5,Female,3,1,1,single,MostProducts,2-3times,No,$10-$20,SlightlyOverweight,3,Yes,130 - 150,1,1,,3,1,5,3,2,3,1,1,1,4,2,3,2,2,1,135
Cereal,nan,,2,"hormones, Premenstrual syndrome.",Other,Unknown,3,Mexican/Spanish,high in protein and low in carbohydrates.,Healthy,Never,Part time,2,2-3 times,2,Healthy,3,Male,3.9,3,5,Relationship,Everything,Everyday,No,$10-$20,JustRight,4,No,130 - 150,1,2,,,1,1,1,1,3.9,3,5,2,5,3,3,3,2,2,135
